"","MarketCap","EnterpriseValue","Revenue","GrossProfit","EBITDA","NetIncomeAvltoCommon","TotalCash","TotalDebt","OperatingCashFlow","LeveredFreeCashFlow","symbol","TrailingPE","ForwardPE","PEGRatio","PriceSales","PriceBook","EnterpriseValueRevenue","EnterpriseValueEBITDA","ProfitMargin","OperatingMargin","ReturnonAssets","ReturnonEquity","RevenuePerShare","QtrlyRevenueGrowth","DilutedEPS","QtrlyEarningsGrowth","TotalCashPerShare","TotalDebtEquity","CurrentRatio","BookValuePerShare","Beta","AvgVol","AvgVol1","ForwardAnnualDividendYield","TrailingAnnualDividendYield3","Sector","AnalystOpinion","RollingAVG","Volatility","Kurtosis","RSI","cluster"
"1",1.364e+10,1.256e+10,6.97e+09,3.59e+09,1.22e+09,5.33e+08,2.2e+09,1.66e+09,1.16e+09,980500000,"A",42.92,20.79,5.48,1.96,3.28,1.8,10.28,0.0466,0.1289,0.061,0.1089,20.88,-0.025,0.95,-0.403,6.59,39.8,3.89,12.48,1.12,2457950,2653760,0.01,0.001,"Capital Goods",2.3,-0.0338314012950386,0.00985100962618061,2.86336402964669,3.93258647898118,1
"2",1.293e+10,1.953e+10,2.433e+10,4.77e+09,3.78e+09,5.88e+08,1.31e+09,8.79e+09,2e+09,616750000,"AA",20.56,10.18,1.29,0.5,1,0.8,5.17,0.0264,0.1192,0.0497,0.0482,20.2,0.01,0.48,0.014,1.07,60.04,1.5,10.02,0.79,19820000,26841700,0.012,0.012,"Capital Goods",2.4,-0.251765514986978,0.0102818561290607,7.00044451601529,47.0588235294118,2
"3",295500000,1.5e+09,437580000,-24450000,270610000,59520000,98390000,1.29e+09,-163730000,-84500000,"AAMC",6.23,0,0,0.67,0,3.44,5.56,0.1365,0.6138,0.068,0.1525,197.01,0.191,21.28,0.009,44.14,93.58,2.16,-76.79,4.72,9625,3838,0,0,"Finance",0,-0.391852819123519,0.0283708350536419,3.64985769387071,68.9367676427654,3
"4",6.9174e+11,7.2954e+11,2.2434e+11,7.054e+10,7.788e+10,5.074e+10,3.486e+10,5.442e+10,8.104e+10,5.186e+10,"AAPL",14.03,12.42,0.9,3.11,5.56,3.25,9.37,0.2262,0.3021,0.1709,0.4115,38.51,0.325,8.65,0.378,6.11,43.3,1.09,22.03,1.13,45146600,49915600,0.017,0.016,"Technology",1.9,-0.0650392878112305,0.0107829265403037,3.72025488124562,86.1990950226244,4
"5",1.23e+09,2.73e+09,1.84e+09,833020000,369520000,128040000,359690000,1.87e+09,322520000,160390000,"AAWW",9.64,10.11,1.79,0.66,0.84,1.48,7.38,0.0696,0.1234,0.0347,0.092,73.7,0.103,5.1,2.68,14.39,129.32,1.29,57.86,0.31,643152,873825,0,0,"Transportation",2.4,0.141430581945411,0.0184378421801515,7.33817483581546,45.9876626562249,5
"6",4.504e+10,4.721e+10,3.789e+10,1.122e+10,5.44e+09,2.54e+09,5.19e+09,7.99e+09,3.65e+09,3.65e+09,"ABB",17.88,16.22,2.45,1.17,3.06,1.25,8.67,0.0677,0.1113,0.0587,0.1609,16.77,-0.101,1.13,-0.075,2.34,53.23,1.47,6.55,1.17,2076690,2243250,0.009,0.039,"Consumer Durables",3.5,-0.0305381426096488,0.0105186669124259,3.09766524012343,34.7826417768656,6
"7",2.323e+10,2.505e+10,1.3208e+11,2.98e+09,1.59e+09,-431370000,2.56e+09,3.75e+09,3.59e+09,2.9e+09,"ABC",0,18.95,1.29,0.17,14.54,0.19,15.79,-0.0033,0.0103,0.0354,-0.2422,598.25,0.128,-1.95,0,11.65,238.01,0.94,7.18,0.66,1931510,2785340,0.011,0.011,"Health Care",2.3,-0.0819277198177791,0.00843779200813815,5.59522711346618,71.9118028763256,7
"8",2.35e+09,3.87e+09,6.24e+09,967200000,317300000,121300000,1900000,1.62e+09,92700000,-16700000,"ABG",20.7,14.2,0.94,0.37,6.34,0.62,12.2,0.0194,0.0463,0.0851,0.2706,220.5,0.124,4.26,0.145,0.07,440.66,1.16,13.81,1.22,295591,462638,0,0,"Consumer Durables",2.8,0.00580934040540676,0.0118660809007896,4.19175739947324,21.3090206393871,6
"9",7.547e+10,7.506e+10,2.05e+10,1.103e+10,4.52e+09,2.38e+09,9.85e+09,8.9e+09,0,0,"ABT",17.03,20.95,2.46,3.69,3.46,3.66,16.6,0.2204,0.1496,0,0,13.62,0.122,2.98,0.679,6.62,40.49,0,14.69,1.24,4936560,5802150,0.019,0.019,"Health Care",2,0.0541148775622359,0.00782232463314569,4.52551999314336,66.3635165294705,8
"10",8.22e+09,1.909e+10,9.84e+09,3.41e+09,3.71e+09,-2.94e+09,2.26e+09,1.29e+10,2.03e+09,17730000,"ABX",0,10.86,-27.2,0.83,0.81,1.94,5.14,-0.2987,0.2007,0.0346,-0.2062,8.44,-0.152,-2.53,-0.352,1.94,100.9,2.47,8.74,0.32,14574000,28541100,0.028,0.028,"Basic Industries",2.9,-0.433684176413957,0.022294017022307,11.8233481939002,60.6741573033708,9
