"","symbol","Sector","MarketCap","EnterpriseValue","Revenue","GrossProfit","EBITDA","NetIncomeAvltoCommon","TotalCash","TotalDebt","OperatingCashFlow","LeveredFreeCashFlow","TrailingPE","ForwardPE","PEGRatio","PriceSales","PriceBook","EnterpriseValueRevenue","EnterpriseValueEBITDA","ProfitMargin","OperatingMargin","ReturnonAssets","ReturnonEquity","RevenuePerShare","QtrlyRevenueGrowth","DilutedEPS","QtrlyEarningsGrowth","TotalCashPerShare","TotalDebtEquity","CurrentRatio","BookValuePerShare","Beta","AvgVol","AvgVol1","ForwardAnnualDividendYield","TrailingAnnualDividendYield3","AnalystOpinion","RollingAVG","Volatility","Kurtosis","RSI","fit.cluster"
"1","A","Capital Goods",-0.175635973382593,-0.210746935113396,-0.196099540253512,-0.10462971560446,-0.198386792317793,-0.161233713759715,-0.102511127717047,-0.177801780636392,-0.0774892427164626,0.118181151656508,0.111754835949104,0.130903905655942,0.247485376483011,-0.0812564961100362,-0.0829739415374841,-0.107299850841414,-0.0312002158190797,-0.0519040824422028,0.0333872363232673,0.178433596873756,-0.0269381548703062,-0.230391922033097,-0.042678689582564,-0.17663858577146,-0.0461130177287543,-0.0583405332747941,-0.130075749015607,0.0223600490053434,-0.307126309646695,-0.0391987287732659,-0.0640405887511736,-0.0842646296803144,-0.250974792020273,-0.531344943937473,-0.000155661638738596,0.150857878304311,-0.517701993234848,-0.5898603349565,-1.40366764529749,38
"2","AA","Capital Goods",-0.189620822930522,-0.0859149901523528,0.341156543239192,-0.00382288891497983,0.269924508403041,-0.1430311255885,-0.115760831907676,-0.0452640752971894,0.076740602101515,0.00849025698407407,-0.0645951056202975,-0.340275118883022,0.0160568746740163,-0.204745370672094,-0.285391139451358,-0.220692951639506,-0.180388753280434,-0.140792189261683,0.0300424253913518,0.00726896879492541,-0.0458600784468903,-0.237522291320414,-0.0337619272344604,-0.23704758600588,-0.036162011340757,-0.158291329974503,-0.104163619577026,-0.0667473104084633,-0.413163143263281,-0.511723082760866,3.28818167320511,3.80478539063414,-0.197924036225746,-0.208472551949646,0.162355089203733,-1.08578714537114,-0.459018855539602,-0.0218051558313362,0.347753272511514,36
"3","AAMC","Finance",-0.438482205484476,-0.408830337017145,-0.398264424178018,-0.413410423000893,-0.37206259926754,-0.317934830983473,-0.133798443249708,-0.184679613872788,-0.320535281384203,-0.202975694600927,-0.177613650463299,-0.792358292286099,-0.0551943824461753,-0.190366529113498,-0.374170612220601,0.0786648344674585,-0.169002543963423,0.343691996917761,0.200593300332113,0.284464782409315,-0.0133467896653791,1.61647858175389,0.0123504723371613,2.43637199883657,-0.0362813279641143,0.621578382680653,-0.0612242509322618,-0.0421402571812196,-4.15505644661932,5.11561240563692,-0.536757207439873,-0.510331471583003,-0.516228570992903,-0.56069697957273,-3.73790293101559,-1.88069834401645,2.00477749397589,-0.481868285784707,1.23624926890407,61
"4","AAPL","Technology",13.1808801934492,12.6302871966181,6.5310522379037,5.61487625631137,13.8253414550491,16.4550816373707,0.38370835415481,0.802940061396752,14.5890345716407,15.4611856203468,-0.116096228985601,-0.240799057151893,-0.00548420305999514,0.0160121379628176,0.11944325637639,0.0571201453158209,-0.057768037558773,0.738407996012186,0.0931110768807681,1.84312320978203,0.0673909073088433,-0.0455266124222155,0.0464889338984723,0.813040779771178,-0.0274757611603469,-0.0670319069008558,-0.125594896592927,-0.0820335101405389,0.104520747685988,-0.0248798089554601,8.17817982086983,7.51471485398379,-0.0652971467394311,-0.0910644094086182,-0.650198665008625,-0.0262281084000466,-0.390770920970283,-0.472202172926637,1.93729817395455,117
"5","AAWW","Transportation",-0.420075385903434,-0.386801170259314,-0.354862426677336,-0.340157177508157,-0.353968587254142,-0.295257715683625,-0.129908389648572,-0.173898145556275,-0.231256397999986,-0.129127713305168,-0.150719495689075,-0.34338374581212,0.0436736409996719,-0.191212343322827,-0.299595855094437,-0.143585643096803,-0.115866900484036,0.0493051480948292,0.0314906940422843,-0.219940714495558,-0.0322063675300141,0.323469998196441,-0.0100688158523564,0.356760033319702,0.0274576122333458,0.0828942881487075,-0.0154683464789566,-0.0745768273444045,1.64895153975196,-1.19903123401556,-0.414437359671298,-0.370450896386301,-0.516228570992903,-0.56069697957273,0.162355089203733,1.14536422585191,0.651861351859504,0.0245679949792935,0.304251829122323,185
"6","ABB","Consumer Durables",0.442848922117359,0.409830811357212,0.760810488640176,0.547197477311415,0.573595117464207,0.502995276415334,-0.0579980765597643,-0.0601350660785866,0.379692082993971,0.92318415736939,-0.085731860692122,-0.0720450238580135,0.0801277725495374,-0.14807581864704,-0.102505425546718,-0.169666056280365,-0.0782048235123832,0.0409443855722048,0.0273183010241217,0.143594778769215,-0.0107282697635125,-0.273488712872616,-0.0620408021098747,-0.153503223979554,-0.0382858472365166,-0.135295403922215,-0.112882078148011,-0.0678658128278835,-0.562735424828141,0.0323958703157642,-0.137653339526195,-0.150268345740437,-0.277500169917536,0.584032410202292,1.94997334847092,0.169545140688208,-0.426764213306136,-0.557688851581897,-0.15080080924369,163
"7","ABC","Health Care",0.0132579803704177,0.0129476118827916,3.67579611676102,-0.156741719232072,-0.130701174635485,-0.480397894753792,-0.0971516968084778,-0.138951317219992,0.368675665506973,0.697017364230352,-0.226748719156384,0.0491914263768,0.0160568746740163,-0.232657239579957,0.916682921844191,-0.289862743126343,0.129666485044338,-0.271484108694285,-0.00750911177211147,-0.209337595942002,-0.136386052197138,5.82381589475843,-0.00369969988942527,-0.549374970196609,-0.0364960978861574,0.0332810303666056,0.123681324898484,-0.0876260222376398,-0.535579650365357,-0.697869040392345,-0.165684339781972,-0.0631085824239967,-0.22444941412301,-0.237824587584903,-0.000155661638738596,-0.122059802873091,-0.710188281317835,-0.214753063406493,1.35706989448248,123
"8","ABG","Consumer Durables",-0.398014778165856,-0.366383893752056,-0.218691529939553,-0.328694245300365,-0.36352140605244,-0.29748836012497,-0.135234919606285,-0.178545330175462,-0.273452949114352,-0.182530216501157,-0.0634909467732618,-0.161751115240549,-0.00327486175394269,-0.215740955393373,0.188691245136399,-0.241103709783163,0.0248549685108227,-0.171594998555562,0.0049046195215954,0.543483821360466,0.0234683532406273,1.86279089728194,-0.00471875844349425,0.248795011624142,-0.0330359158087962,-0.176398358362131,0.383122680171632,-0.0794236711618919,-0.249797452447484,0.103990469404795,-0.481543589729833,-0.436563463669957,-0.516228570992903,-0.56069697957273,0.81239809257362,0.375795246429955,-0.24324066122188,-0.407460998967786,-0.697984693411892,70
"9","ABT","Health Care",1.04222775555887,0.908621294451193,0.222625967215168,0.530965869624126,0.405295743767657,0.450042292644528,0.0113767790900476,-0.0432193140647473,-0.290473314131765,-0.177494235907262,-0.0924356822634096,0.138009338636737,0.0806801078760505,0.0650693621039091,-0.0669936364390203,0.103611316643039,0.153314765933516,0.712885668311543,0.0405251318171487,-0.745552448507543,-0.0608853950266491,-0.306519100012394,-0.00522828772052875,0.0842768833261447,-0.0202929004342385,-0.0577973224231653,-0.129192380966564,-0.122672431379472,-0.211865577007404,0.132628309040407,0.414523383861938,0.421948226538852,-0.012246390944905,-0.00300830250284725,-0.487687914166154,0.649900117526011,-0.794017571963516,-0.361632649590184,1.13174569672062,77
"10","ABX","Basic Industries",-0.282393557255515,-0.0937953424884875,-0.107278978063186,-0.120007028150313,0.257119121273956,-1.31064441773478,-0.101617889232285,0.0311356398422385,0.0822488108450142,-0.172147652917455,-0.226748719156384,-0.310077028714644,-1.55754647056184,-0.176833501764232,-0.302259239277514,-0.0914248167296806,-0.181264615535589,-1.57136266089599,0.0581457337368271,-0.221455445717495,-0.125163824046281,-0.36083573664225,-0.0750337986742543,-0.623922247081638,-0.04489598817051,-0.142538215277266,-0.0518528681511148,-0.0305823988472112,-0.468336780267034,-1.18471231419775,2.27529679001317,4.07802286371049,0.226482010130463,0.261160018214466,0.974908843416092,-2.11806613811927,1.17708886960985,0.640419188527293,0.900692318567816,173
